ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
PEZ,PowerShares Dynamic Consumer Discretionary ETF,US Equity ETF,,39.69,39.934,41.0898,40.125
PF,Pinnacle Foods Inc. ,Consumer Goods,Food - Major Diversified,30.4,30.019,29.1374,27.3332
PFBI,Premier Financial Bancorp Inc. ,Financial,Regional - Southeast Banks,14.3,14.268,14.2484,13.3078
PFI,PowerShares Dynamic Financial ETF,US Equity ETF,,27.68,27.698,28.311,27.4499
PFIG,PowerShares Fundamental Investment Grade Corporate Bond Portfolio ETF,Fixed Income ETF,,25.36,25.293,25.2616,25.0005
PHB,PowerShares Fundamental High Yield Corporate Bond Portfolio ETF,Fixed Income ETF,,19.51,19.462,19.4466,19.1563
PICB,PowerShares International Corporate Bond Portfolio ETF,Fixed Income ETF,,30.47,30.233,30.001,29.2913
PL,Protective Life Corporation Com ,Financial,Life Insurance,51.15,50.554,51.766,47.6426
PLT,Plantronics Inc. Common ,Technology,Processing Systems & Products,43.57,42.57,43.9786,44.7412
PSEM,Pericom Semiconductor Corporati ,Technology,Semiconductor - Integrated Circuits,8.07,7.742,8.119,8.14245
PSJ,PowerShares Dynamic Software ETF,US Equity ETF,,33.95,33.806,35.8922,34.3971
PTEK,PokerTek Inc. ,Services,Gaming Activities,1.31,1.049,1.0758,1.1308
PTM, E-TRACS USB Bloomberg Commodity ,N/A,N/A,15.92,15.796,16.123,16.0459
PZA,PowerShares Insured National Municipal Bond Portfolio ETF,Fixed Income ETF,,24.39,24.307,24.0534,23.3426
PZZI,Pizza Inn Holdings Inc. ,Services,Restaurants,5.94,5.751,5.976,7.2022
QEPM,QEP Midstream Partners LP ,Basic Materials,Oil & Gas Pipelines,23.8,23.252,22.9222,
RAND, Rand Capital Corporation ,Financial,Asset Management,3.5,3.428,3.3624,3.0893
RBA,Ritchie Bros. Auctioneers Incor ,Services,Business Services,25,24.293,23.4926,21.2987
RBC,Regal Beloit Corporation Common ,Industrial Goods,Industrial Electrical Equipment,74.73,74.174,73.096,71.3973
RCL,Royal Caribbean Cruises Ltd. Co ,Services,Resorts & Casinos,53.13,51.905,52.4642,44.7672
RDN,Radian Group Inc. Common ,Financial,Property & Casualty Insurance,13.98,14.003,14.9338,14.2901
REFR,Research Frontiers Incorporated ,Industrial Goods,Industrial Electrical Equipment,4.55,4.595,5.5348,5.3111
RFG,Guggenheim S&P MidCap 400 Pure Growth ETF,US Equity ETF,,117.97,118.504,121.933,116.183
RFMD,RF Micro Devices Inc. ,Technology,Semiconductor - Integrated Circuits,8.44,8.076,7.5716,5.84515
