406,Smucker  J.M. Co,SJM 
407,Schlumberger Ltd,SLB 
408,SLM Corp,SLM 
409,Snap On Inc,SNA 
410,SanDisk Corp,SNDK 
411,Scripps Networks Interactive,SNI 
412,Southern Co,SO 
413,Simon Property Group,SPG 
414,Staples Inc,SPLS 
415,Stericycle Inc,SRCL 
416,Sempra Energy,SRE 
417,SunTrust Banks Inc (GA),STI 
418,St Jude Medical Inc,STJ 
419,State Street Corp,STT 
420,Seagate Technology,STX 
421,Constellation Brands Inc A,STZ 
422,Stanley Black & Decker,SWK 
423,Southwestern Energy Co,SWN 
424,Safeway Inc,SWY 
425,Stryker Corp,SYK 
426,Symantec Corp,SYMC 
427,Sysco Corp,SYY 
428,AT&T Inc,T 
429,Molson Coors Brewing Co B,TAP 
430,Teradata Corp,TDC 
431,TECO Energy Inc,TE 
432,Integrys Energy Group Inc,TEG 
433,TE Connectivity Ltd.,TEL 
434,Teradyne Inc,TER 
435,Target Corp,TGT 
436,Tenet Healthcare,THC 
437,Titanium Metals Corp,TIE 
438,Tiffany & Co,TIF 
439,TJX Cos Inc,TJX 
440,Torchmark Corp,TMK 
441,Thermo Fisher Scientific,TMO 
442,TripAdvisor Inc.,TRIP 
443,T Rowe Price Group Inc,TROW 
444,Travelers Cos Inc,TRV 
445,Tyson Foods Inc A,TSN 
446,Tesoro Corp,TSO 
447,Total System Services Inc,TSS 
448,Time Warner Cable Inc,TWC 
449,Time Warner Inc,TWX 
450,Texas Instruments Inc,TXN 
451,Textron Inc,TXT 
452,Tyco Intl,TYC 
453,Unitedhealth Group Inc,UNH 
454,Unum Group,UNM 
455,Union Pacific Corp,UNP 
456,United Parcel Service Inc B,UPS 
457,Urban Outfitters,URBN 
458,US Bancorp,USB 
459,United Technologies Corp,UTX 
460,Visa Inc,V 
461,Varian Medical Systems Inc,VAR 
462,VF Corp,VFC 
463,Viacom Inc B,VIAB 
464,Valero Energy Corp,VLO 
465,Vulcan Materials Co,VMC 
466,Vornado Realty Trust,VNO 
467,VeriSign Inc,VRSN 
468,Ventas Inc,VTR 
469,Verizon Communications Inc,VZ 
470,Walgreen Co,WAG 
471,Waters Corp,WAT 
472,Western Digital Corp,WDC 
473,Wisconsin Energy Corp,WEC 
474,Wells Fargo & Co,WFC 
475,Whole Foods Market Inc,WFM 
476,Whirlpool Corp,WHR 
477,Windstream Corp,WIN 
478,WellPoint Inc,WLP 
479,Waste Management Inc,WM 
480,The Williams Companies Inc,WMB 
481,Wal-Mart Stores,WMT 
482,Watson Pharmaceuticals,WPI 
483,Washington Post Co B,WPO 
484,WPX Energy Inc.,WPX 
485,Western Union Co,WU 
486,Weyerhaeuser Co,WY 
487,Wyndham Worldwide Corp,WYN 
488,Wynn Resorts Ltd,WYNN 
489,United States Steel Corp,X 
