SPY
price_date, close_price, bollidiff,rsi_14, dma_20,dma_20_sd,perb,dma_20_top, dma_20_bottom
2015-07-02,207.32,42.3664,8.37655258178711,209.638,2.09414,0.223275996726572,1.87028312683105,-6.50626945495605
2015-07-01,207.57,43.0277,8.2307071685791,209.779,2.05768,0.231676021450383,1.90685749053955,-6.32384967803955
2015-06-30,205.89,36.8791,7.99674844741821,209.996,1.99919,-0.0134590433368989,-0.107628583908081,-8.10437703132629
2015-06-29,205.47,35.2571,7.10368013381958,210.27,1.77592,-0.175635645370494,-1.24765944480896,-8.35133957862854
2015-06-26,209.9,47.1153,5.66181612014771,210.574,1.41545,0.380868700536118,2.1564085483551,-3.5054075717926
2015-06-25,209.83,46.853,5.63306760787964,210.637,1.40827,0.356826980956116,2.01003050804138,-3.62303709983826
2015-06-24,210.51,49.0472,5.69441509246826,210.768,1.4236,0.454690541509861,2.58919668197632,-3.10521841049194
2015-06-23,212.05,54.4052,5.85982084274292,210.878,1.46496,0.700091545768612,4.10241103172302,-1.7574098110199
2015-06-22,211.89,53.9195,5.77470541000366,210.81,1.44368,0.687022844348696,3.96735453605652,-1.80735087394714
2015-06-19,210.5,49.588,5.94579601287842,210.865,1.48645,0.438611164531465,2.60789251327515,-3.33790349960327
2015-06-18,212.71,57.5786,6.3419189453125,211.015,1.58548,0.767270417492734,4.865966796875,-1.4759521484375
2015-06-17,210.59,50.469,6.41024160385132,211.023,1.60256,0.43237350102293,2.77161860466003,-3.63862299919128
2015-06-16,210.25,49.2012,6.70832538604736,211.146,1.67708,0.366507994027456,2.45865488052368,-4.24967050552368
2015-06-15,209.1,44.7602,7.02411127090454,211.288,1.75603,0.188503186116492,1.32406735420227,-5.70004391670227
2015-06-12,209.93,47.5459,6.97844457626343,211.455,1.74461,0.281468615447542,1.96421313285828,-5.01423144340515
2015-06-11,211.65,54.0146,7.07184743881226,211.569,1.76796,0.511452969403615,3.61691737174988,-3.45493006706238
2015-06-10,210.96,51.5597,7.07211780548096,211.488,1.76803,0.425411828196384,3.00856256484985,-4.0635552406311
2015-06-09,208.45,40.9026,7.05794334411621,211.439,1.76449,0.076574933216589,0.540461540222168,-6.51748180389404
2015-06-08,208.42,40.7579,6.54673480987549,211.547,1.63668,0.0224320656152177,0.146856784820557,-6.39987802505493
2015-06-05,209.77,45.4015,6.08443975448608,211.706,1.52111,0.181730282809672,1.10572695732117,-4.97871279716492
2015-06-04,210.13,46.7196,5.91472864151001,211.661,1.47868,0.241071106816827,1.42587018013,-4.48885846138
2015-06-03,211.92,53.951,6.00703525543213,211.557,1.50176,0.560427701448824,3.36650896072388,-2.64052629470825
2015-06-02,211.36,51.7829,6.07356262207031,211.406,1.51839,0.492425327293694,2.99077606201172,-3.08278656005859
2015-06-01,211.57,51.7829,6.2075662612915,211.404,1.55189,0.526741618087279,3.26978349685669,-2.93778276443481
2015-05-29,211.14,50.2315,6.27113342285156,211.361,1.56778,0.464679976154848,2.91407012939453,-3.35706329345703
2015-05-28,212.46,55.3036,6.33619213104248,211.227,1.58405,0.694519579306316,4.40060949325562,-1.93558263778687
2015-05-27,212.7,56.2628,6.3329496383667,211.133,1.58324,0.747436255181965,4.73347616195679,-1.59947347640991
2015-05-26,210.7,49.4832,6.50627660751343,211.07,1.62657,0.443130242026711,2.88312792778015,-3.62314867973328
2015-05-22,212.99,59.2475,6.68962907791138,211.074,1.67241,0.786488814839995,5.26131844520569,-1.42831063270569
2015-05-21,213.5,61.7681,6.97028684616089,211.007,1.74257,0.857732731936671,5.97864317893982,-0.991643667221069
2015-05-20,212.88,59.8394,7.04346609115601,210.889,1.76087,0.782603622625865,5.51224207878113,-1.53122401237488
2015-05-19,213.03,59.8394,7.16624641418457,210.777,1.79156,0.814389234257529,5.83611392974854,-1.33013248443604
2015-05-18,213.1,60.1348,7.01349639892578,210.605,1.75337,0.855672362834544,6.00125503540039,-1.01224136352539
2015-05-15,212.44,58.3344,6.83480834960938,210.443,1.7087,0.792179958296683,5.41439819335938,-1.42041015625
2015-05-14,212.21,57.7165,6.59882116317749,210.219,1.64971,0.801796458071192,5.29091143608093,-1.30790972709656
2015-05-13,210.02,51.3354,6.64723443984985,210.126,1.66181,0.483979639979481,3.21712613105774,-3.43010830879211
2015-05-12,209.98,51.2105,6.94169616699219,210.147,1.73542,0.475941406499008,3.30384063720703,-3.63785552978516
2015-05-11,210.61,53.2074,7.05575227737427,210.122,1.76394,0.569092994282281,4.01537919044495,-3.04037308692932
2015-05-08,211.62,56.4862,7.10675716400146,210.046,1.77669,0.72140922372928,5.12688016891479,-1.97987699508667
2015-05-07,208.87,48.4555,7.23399496078491,209.967,1.8085,0.348285260349381,2.51949381828308,-4.71450114250183
2015-05-06,208.04,45.644,7.24542093276978,209.969,1.81136,0.233762762385874,1.6937096118927,-5.55171132087708
2015-05-05,208.9,48.172,7.05051708221436,209.966,1.76263,0.348804065141053,2.4592490196228,-4.59126806259155
2015-05-04,211.32,56.3232,6.98596954345703,209.885,1.74649,0.705413551899439,4.92799758911133,-2.0579719543457
2015-05-01,210.72,54.5527,6.87801170349121,209.71,1.7195,0.646772972932501,4.44851207733154,-2.42949962615967
2015-04-30,208.46,47.0449,6.87007236480713,209.497,1.71752,0.349128368902327,2.39853715896606,-4.47153520584106
2015-04-29,210.57,54.9088,7.01195240020752,209.359,1.75299,0.672776711256548,4.71747827529907,-2.29447412490845
2015-04-28,211.44,58.6633,7.03635025024414,209.152,1.75909,0.825239341905313,5.80667304992676,-1.22967720031738
2015-04-27,210.77,56.5381,6.73462820053101,208.992,1.68366,0.764008617103688,5.14531397819519,-1.58931422233582
2015-04-24,211.65,60.3202,6.91232776641846,208.74,1.72808,0.92091466440658,6.36566400527954,-0.546663761138916
2015-04-23,211.16,58.8987,7.01592302322388,208.421,1.75398,0.890327847493624,6.24647164344788,-0.769451379776001
2015-04-22,210.63,57.3645,7.10773992538452,208.152,1.77693,0.848704425348941,6.0323703289032,-1.07536959648132
2015-04-21,209.6,54.2852,6.75699615478516,208.061,1.68925,0.727764146906294,4.91749954223633,-1.83949661254883
2015-04-20,209.85,55.1835,6.65170288085938,208.081,1.66293,0.765948807825181,5.09486389160156,-1.55683898925781
2015-04-17,207.95,49.2581,6.53887033462524,208.109,1.63472,0.47568439594385,3.11043858528137,-3.42843174934387
2015-04-16,210.37,58.3883,6.53919696807861,208.186,1.6348,0.833909837541902,5.45310068130493,-1.08609628677368
2015-04-15,210.43,58.6385,6.31936883926392,208.191,1.57984,0.854307284482977,5.3986828327179,-0.920686006546021
2015-04-14,209.49,55.8883,6.11808252334595,208.068,1.52952,0.73250758794499,4.48154187202454,-1.63654065132141
2015-04-13,209.09,54.6982,6.03355693817139,208.022,1.50839,0.677008881329324,4.08477163314819,-1.94878530502319
2015-04-10,210.04,58.1589,6.80194330215454,207.859,1.70049,0.820643624766548,5.58197140693665,-1.2199718952179
2015-04-09,208.9,54.9853,6.9051685333252,207.712,1.72629,0.672043343405251,4.6405725479126,-2.2645959854126
2015-04-08,207.98,52.2725,8.23026847839355,207.492,2.05757,0.559292273914139,4.60312557220459,-3.62714290618896
2015-04-07,207.28,50.1501,9.26483058929443,207.342,2.31621,0.493308408679099,4.57041883468628,-4.69441175460815
2015-04-06,207.83,51.8318,9.34699821472168,207.396,2.33675,0.546432632951734,5.10750484466553,-4.23949337005615
2015-04-02,206.44,47.7174,9.52656555175781,207.38,2.38164,0.401381153967514,3.82378387451172,-5.70278167724609
2015-04-01,205.7,45.4124,9.52546977996826,207.581,2.38137,0.302581031036789,2.88222646713257,-6.64324331283569
2015-03-31,206.43,47.3236,9.41968822479248,207.807,2.35492,0.353815314552347,3.33282995223999,-6.08685827255249
2015-03-30,208.25,52.4319,9.5392894744873,208.042,2.38482,0.521856564297333,4.97814083099365,-4.56114864349365
2015-03-27,205.74,44.8015,10.0394878387451,208.229,2.50987,0.252129300516397,2.53124904632568,-7.50823879241943
2015-03-26,205.27,43.2177,10.1053552627563,208.475,2.52634,0.182891080254653,1.84817934036255,-8.2571759223938
2015-03-25,205.76,43.2178,10.3160057067871,208.78,2.579,0.207250620220769,2.13799858093262,-8.17800712585449
2015-03-24,208.82,51.5153,10.8308305740356,209.074,2.70771,0.476595122510456,5.16192102432251,-5.66890954971313
2015-03-23,210,55.3183,11.8538770675659,209.223,2.96347,0.565547566709422,6.70393133163452,-5.1499457359314
2015-03-20,210.41,56.6681,12.6854686737061,209.284,3.17137,0.588802029337953,7.46922969818115,-5.2162389755249
2015-03-19,209.5,54.3736,13.5530614852905,209.325,3.38827,0.512912436938897,6.95153379440308,-6.60152769088745
2015-03-18,210.46,57.3482,14.1242971420288,209.349,3.53107,0.578659325788589,8.17315626144409,-5.95114088058472
2015-03-17,207.96,50.8456,14.7669496536255,209.333,3.69174,0.407056122571882,6.01097726821899,-8.75597238540649
2015-03-16,208.58,52.6957,15.4680833816528,209.44,3.86702,0.444401604960855,6.87404108047485,-8.59404230117798
2015-03-13,205.83,44.3569,16.1920967102051,209.5,4.04802,0.273346328481827,4.42605018615723,-11.7660465240479
2015-03-12,207.1,47.9842,16.4669857025146,209.654,4.11675,0.344872086373884,5.67900371551514,-10.7879819869995
2015-03-11,204.5,38.4095,16.6010913848877,209.646,4.15027,0.190020615244941,3.15454959869385,-13.4465417861938
2015-03-10,204.98,39.661,16.2822933197021,209.762,4.07057,0.206336858971318,3.35963726043701,-12.9226560592651
2015-03-09,208.36,50.3987,15.7852153778076,209.744,3.9463,0.4123228506915,6.50860500335693,-9.27661037445068
2015-03-06,207.5,47.0091,15.925329208374,209.604,3.98133,0.367914795437645,5.85916423797607,-10.0661649703979
2015-03-05,210.46,60.145,16.0981693267822,209.535,4.02454,0.557491418620944,8.97459125518799,-7.12357807159424
2015-03-04,210.23,59.3249,16.1201000213623,209.214,4.03003,0.562996068780079,9.07555294036865,-7.04454708099365
2015-03-03,211.12,64.0613,16.2128715515137,208.945,4.05322,0.634151916645863,10.2814235687256,-5.93144798278809
2015-03-02,211.99,69.0665,16.1015224456787,208.485,4.02538,0.717681582262624,11.5557661056519,-4.54575634002686
2015-02-27,210.66,65.2077,16.0111713409424,207.858,4.00279,0.675002933480573,10.8075876235962,-5.20358371734619
2015-02-26,211.38,69.5703,15.8262538909912,207.424,3.95656,0.749933142633668,11.8686323165894,-3.95762157440186
2015-02-25,211.63,71.1041,15.6176652908325,206.863,3.90442,0.805263414362785,12.5763344764709,-3.04133081436157
2015-02-24,211.81,72.1678,15.0309619903564,206.418,3.75774,0.858726094475857,12.9074792861938,-2.1234827041626
2015-02-23,211.21,70.8165,14.3382816314697,206.1,3.58457,0.856388634404845,12.2791414260864,-2.0591402053833
2015-02-20,211.24,70.9765,13.6384134292603,205.788,3.4096,0.899754057660514,12.2712178230286,-1.36719560623169
2015-02-19,209.98,68.1719,12.8975687026978,205.531,3.22439,0.844947948773747,10.8977742195129,-1.99979448318481
2015-02-18,210.13,68.172,12.2909555435181,205.186,3.07274,0.902247020309822,11.0894780158997,-1.20147752761841
2015-02-17,210.11,68.1298,11.6167678833008,204.783,2.90419,0.958604272992901,11.1358833312988,-0.480884552001953
2015-02-13,209.78,68.1298,10.8713455200195,204.359,2.71784,0.998695724488729,10.8571662902832,-0.0141792297363281
2015-02-12,208.92,66.6073,10.0891389846802,203.951,2.52228,0.992509236731713,10.0135636329651,-0.0755753517150879
2015-02-11,206.93,62.7877,10.3506011962891,203.456,2.58765,0.835632583804215,8.64929962158203,-1.70130157470703
2015-02-10,206.81,62.5478,10.4146347045898,203.152,2.60366,0.851188622976015,8.86481857299805,-1.5498161315918
2015-02-09,204.63,57.9783,10.1346387863159,202.916,2.53366,0.669123394798822,6.78132390975952,-3.3533148765564
2015-02-06,205.55,60.8895,10.1800336837769,202.817,2.54501,0.768466863065468,7.8230185508728,-2.35701513290405
2015-02-05,206.12,62.7008,9.89030838012695,202.752,2.47258,0.8405350052166,8.31315040588379,-1.57715797424316
2015-02-04,204.06,58.5644,9.47078132629395,202.741,2.3677,0.639270478189445,6.0543909072876,-3.41639041900635
2015-02-03,204.84,60.9405,9.66658306121826,202.654,2.41665,0.726190879039146,7.01978445053101,-2.64679861068726
2015-02-02,201.92,54.527,10.5908708572388,202.402,2.64772,0.454442068508887,4.81293725967407,-5.7779335975647
2015-01-30,199.45,47.7938,11.1147804260254,202.393,2.7787,0.235261987189365,2.6148853302002,-8.4998950958252
2015-01-29,201.99,47.7938,10.8045988082886,202.691,2.70115,0.435074654596876,4.70080709457397,-6.1037917137146
2015-01-28,200.14,42.2737,10.7915105819702,202.869,2.69788,0.247115671571555,2.66675138473511,-8.12475919723511
2015-01-27,202.74,49.0407,10.6190118789673,203.242,2.65475,0.452726401751044,4.80750703811646,-5.81150484085083
2015-01-26,205.45,58.0317,10.9057312011719,203.541,2.72643,0.67504526260707,7.36186218261719,-3.54386901855469
2015-01-23,204.97,56.7269,11.0187568664551,203.691,2.75469,0.616119745155013,6.78887367248535,-4.22988319396973
2015-01-22,206.1,56.7269,11.1031970977783,203.831,2.7758,0.704400652572041,7.82109928131104,-3.28209781646729
2015-01-21,203.08,47.9473,11.061450958252,203.913,2.76536,0.424694096926813,4.69773292541504,-6.36371803283691
2015-01-20,202.06,44.4101,11.1495561599731,204.133,2.78739,0.314117285397844,3.50226831436157,-7.64728784561157
2015-01-19,201.63,42.891,11.0248966217041,204.355,2.75622,0.25278730692131,2.78695392608643,-8.23794269561768
2015-01-16,201.63,42.8909,10.8091974258423,204.613,2.7023,0.224031156850488,2.42159700393677,-8.38760042190552
2015-01-15,199.02,33.3597,10.9815912246704,204.621,2.7454,-0.0100351861779293,-0.110202312469482,-11.0917935371399
2015-01-14,200.86,37.4514,11.9532899856567,204.566,2.98832,0.190001215101437,2.27113962173462,-9.68215036392212
2015-01-13,202.08,40.5107,12.3352088928223,204.567,3.0838,0.298382051465224,3.68060493469238,-8.65460395812988
2015-01-12,202.65,41.999,12.251106262207,204.673,3.06278,0.334912319705663,4.10304641723633,-8.1480598449707
2015-01-09,204.25,46.4469,12.3943386077881,204.698,3.09858,0.463854622577965,5.74917125701904,-6.64516735076904
2015-01-08,205.9,51.6889,12.3916578292847,204.809,3.09791,0.588042146919309,7.28681707382202,-5.10484075546265
2015-01-07,202.31,51.6889,12.3651218414307,204.844,3.09128,0.295028293730338,3.64806079864502,-8.71706104278564
2015-01-06,199.82,43.3731,12.3082571029663,205.129,3.07706,0.0686643174494502,0.845138072967529,-11.4631190299988
2015-01-05,201.72,49.3978,11.5044059753418,205.521,2.8761,0.169605290251942,1.95120811462402,-9.55319786071777
2015-01-02,205.43,49.3978,11.2264909744263,205.829,2.80662,0.464414026061711,5.21373987197876,-6.01275110244751
2014-12-31,205.54,49.7427,11.3769979476929,205.913,2.84425,0.467257371488025,5.31598615646362,-6.06101179122925
2014-12-30,207.6,56.6173,11.4016246795654,205.917,2.85041,0.647567598764415,7.38332271575928,-4.01830196380615
2014-12-29,208.72,60.864,11.5524454116821,205.898,2.88811,0.744320090357818,8.598717212677,-2.95372819900513
2014-12-26,208.44,60.1704,11.7013778686523,205.844,2.92534,0.721896652785412,8.44718551635742,-3.25419235229492
2014-12-24,207.77,58.5379,11.877179145813,205.777,2.96929,0.667801752431423,7.93160104751587,-3.94557809829712
2014-12-23,207.75,58.4941,12.2855215072632,205.751,3.07138,0.662671534740333,8.14126539230347,-4.14425611495972
2014-12-22,207.47,57.9163,12.6736755371094,205.698,3.16842,0.639817621860334,8.10884094238281,-4.56483459472656
2014-12-19,206.52,55.9861,12.9420757293701,205.604,3.23552,0.570815835528619,7.38754177093506,-5.55453395843506
2014-12-18,206.78,56.6464,13.3109683990479,205.538,3.32774,0.59326901073411,7.89698505401611,-5.41398334503174
2014-12-17,201.79,45.1091,13.8760089874268,205.477,3.469,0.234288748148632,3.25099277496338,-10.6250162124634
2014-12-16,197.91,32.0536,13.933445930481,205.606,3.48336,-0.0523399727465811,-0.729276180267334,-14.6627221107483
2014-12-12,200.89,38.6014,12.7717266082764,205.923,3.19293,0.105965475533907,1.35336208343506,-11.4183645248413
2014-12-11,204.19,48.8659,12.8450155258179,206.087,3.21125,0.352277994427935,4.52501630783081,-8.31999921798706
2014-12-10,203.16,44.5961,13.7917633056641,206.076,3.44794,0.288569430783852,3.97988128662109,-9.81188201904297
2014-12-09,206.47,59.3963,14.9287729263306,206.127,3.73219,0.522975921800711,7.80738878250122,-7.12138414382935
2014-12-08,206.61,60.1807,16.4181442260742,206.003,4.10454,0.537001634324818,8.81657028198242,-7.6015739440918
2014-12-05,208,68.5239,17.8430995941162,205.839,4.46077,0.621110991506825,11.0825452804565,-6.76055431365967
2014-12-04,207.66,67.5005,19.2239379882812,205.596,4.80598,0.607340498150588,11.6754760742188,-7.5484619140625
2014-12-03,207.89,68.9078,20.4279747009277,205.331,5.10699,0.62529357687321,12.7734813690186,-7.65449333190918
2014-12-02,207.09,66.663,21.2458152770996,204.99,5.31145,0.598866264126362,12.7234020233154,-8.52241325378418
2014-12-01,205.64,62.0519,22.3687839508057,204.723,5.5922,0.540972451084762,12.1008958816528,-10.2678880691528
2014-11-28,207.2,72.0012,23.5445384979248,204.525,5.88613,0.613635327073564,14.4477605819702,-9.09677791595459
2014-11-26,207.64,75.1573,24.0789089202881,204.133,6.01973,0.645625379278966,15.5459547042847,-8.53295421600342
2014-11-25,207.11,73.8765,24.3264675140381,203.657,6.08162,0.64194428055347,15.6162366867065,-8.71023082733154
2014-11-24,207.26,74.8912,24.6642742156982,203.222,6.16607,0.663718354306795,16.3701314926147,-8.2941427230835
2014-11-21,206.68,73.5887,24.6018447875977,202.667,6.15046,0.663117248488423,16.313907623291,-8.28793716430664
2014-11-20,205.58,70.9333,24.5663146972656,202.154,6.14158,0.639439172460742,15.7086639404297,-8.85765075683594
2014-11-19,205.22,70.0172,24.4507732391357,201.622,6.11269,0.64715310501467,15.8233938217163,-8.62737941741943
2014-11-18,205.55,71.9473,24.2384510040283,200.995,6.05961,0.687904103021035,16.6737298965454,-7.56472110748291
2014-11-17,204.37,69.121,23.90673828125,200.421,5.97668,0.665162706031331,15.9018707275391,-8.00486755371094
2014-11-14,204.24,68.7994,23.8047466278076,199.718,5.95119,0.689962247636181,16.4243764877319,-7.38037014007568
2014-11-13,204.19,68.6829,23.942777633667,198.93,5.98569,0.719711268565514,17.2318868637085,-6.7108907699585
2014-11-12,203.96,68.1754,24.5862712860107,198.034,6.14657,0.741049093786663,18.2196340560913,-6.36663722991943
2014-11-11,204.18,69.171,25.2481327056885,197.157,6.31203,0.778158986131077,19.6470613479614,-5.60107135772705
2014-11-10,203.98,68.7862,25.5144138336182,196.333,6.3786,0.799713065081367,20.4042100906372,-5.11020374298096
2014-11-07,203.34,67.584,25.8706817626953,195.505,6.46767,0.802871608370821,20.7708358764648,-5.09984588623047
2014-11-06,203.15,67.2361,25.5571899414062,194.865,6.3893,0.824194168543378,21.0640869140625,-4.49310302734375
2014-11-05,202.34,65.7825,24.8035335540771,194.344,6.20088,0.822373511009332,20.3977689743042,-4.40576457977295
2014-11-04,201.07,63.4196,23.7681694030762,194.059,5.94204,0.79497440328773,18.8950862884521,-4.87308311462402
2014-11-03,201.77,65.7431,23.2831001281738,193.669,5.82078,0.847956303939117,19.7430515289307,-3.54004859924316
2014-10-31,201.66,65.559,22.1832370758057,193.395,5.54581,0.872601298063137,19.3571214675903,-2.82611560821533
