price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-06-15,32.24,31.049,32.1764,,31.3636,31.5352,-0.171547,-0.357119,51.963648274524,108.175676145208
2012-06-14,31.82,30.821,32.2004,,31.2043,31.4788,-0.274542,-0.403512,31.9618455578055,46.9763558695003
2012-06-13,31.38,30.823,32.2448,,31.0923,31.4515,-0.359173,-0.435754,17.5743671755051,21.3214828607084
2012-06-12,31.1,30.834,32.2986,,31.04,31.4572,-0.417213,-0.454899,8.2842981305389,9.03258434671299
2012-06-11,30.79,30.928,32.3506,,31.0291,31.4858,-0.456711,-0.46432,1.63873692577536,1.66603892076777
2012-06-08,31.23,31.014,32.4048,,31.0726,31.5415,-0.468866,-0.466222,-0.567189049933731,-0.563990159506307
2012-06-07,30.98,31.051,32.4608,,31.044,31.5664,-0.522419,-0.465561,-12.2126935647251,-10.8835223331313
2012-06-06,30.77,31.106,32.5124,,31.0556,31.6133,-0.557756,-0.451347,-23.5759126014984,-19.0780809181842
2012-06-05,30.32,31.175,32.576,,31.1075,31.6808,-0.573318,-0.424745,-34.9793896808354,-25.9146153820563
2012-06-04,29.86,31.263,32.6316,,31.2507,31.7897,-0.538984,-0.387602,-39.0559795807679,-28.0865157316611
2012-06-01,29.96,31.351,32.693,,31.5036,31.9441,-0.440435,-0.349757,-25.9262617115166,-20.5884470476149
2012-05-31,31.84,31.479,32.7654,,31.7843,32.1028,-0.318457,-0.327087,2.63866859488711,2.71018129765277
2012-05-30,31.49,31.471,32.8062,,31.7742,32.1238,-0.349571,-0.329245,-6.17371204792056,-5.81472751478644
2012-05-29,32.04,31.525,32.8526,,31.8259,32.1745,-0.348614,-0.324163,-7.54279243022427,-7.01375913696696
2012-05-25,31.65,31.541,32.8808,,31.787,32.1853,-0.398283,-0.31805,-25.2264572112765,-20.1446705217537
2012-05-24,31.6,31.685,32.9204,,31.8119,32.2281,-0.416178,-0.297992,-39.6608980212801,-28.3979972799809
2012-05-23,31.53,31.822,32.9472,,31.8504,32.2783,-0.427893,-0.268445,-59.3967883942293,-37.2634787642808
2012-05-22,31.46,31.911,32.9746,,31.9087,32.3382,-0.429525,-0.228583,-87.9075137816418,-46.7823303137281
2012-05-21,31.2,32.059,32.9674,,31.9903,32.4085,-0.418211,-0.178348,-134.491814411535,-57.3545881544082
2012-05-18,30.74,32.267,32.9684,,32.134,32.5052,-0.371231,-0.118382,-213.586688049173,-68.1108912428326
2012-05-17,31.24,32.475,32.9736,,32.3874,32.6464,-0.259003,-0.0551701,-369.462307666181,-78.6990353928251
2012-05-16,31.76,32.668,32.9492,,32.596,32.7589,-0.162888,-0.00421184,-3767.37304223018,-97.4142654740559
2012-05-15,32.03,32.827,32.9084,,32.748,32.8388,-0.0908318,0.0354572,356.172675294548,-139.036169601235
2012-05-14,32.2,32.989,32.8792,,32.8785,32.9035,-0.0249863,0.0670295,137.276544699063,-368.265207538168
2012-05-11,33.09,33.068,32.8528,,33.0019,32.9598,0.042099,0.0900334,53.2406858015978,113.86113486544
2012-05-10,32.97,33.092,32.8136,,32.9859,32.9494,0.0365562,0.102017,64.1664599836932,179.068157805489
