price_date,close_price,dma_10,dma_50,dma_200,ema_diff,ema_macd_9,signalstrength1,ema_diff_5_35,ema_macd_5,signalstrength2
2012-08-30,28.41,29.264,30.335,31.2523,-0.327902,-0.247205,-0.0806966423988342,-0.895826,-0.646506,-0.249320447444916
2012-08-29,28.41,29.453,30.4424,31.2764,-0.283661,-0.227031,-0.0566294938325882,-0.808226,-0.521846,-0.286379754543304
2012-08-28,28.69,29.552,30.516,31.3025,-0.222963,-0.212874,-0.0100891292095184,-0.645315,-0.378656,-0.266658961772919
2012-08-27,28.32,29.625,30.579,31.3157,-0.170834,-0.210352,0.0395180135965347,-0.49111,-0.245327,-0.245782643556595
2012-08-24,29.5,29.91,30.6108,31.3285,-0.0641136,-0.220231,0.156117096543312,-0.0684509,-0.122436,0.0539854019880295
2012-08-23,30.73,29.954,30.6086,31.3402,-0.0470657,-0.25926,0.212194591760635,0.0842609,-0.149429,0.233690097928047
2012-08-22,29.95,29.822,30.5894,31.3429,-0.149939,-0.312309,0.162370830774307,-0.218361,-0.266274,0.0479134619235992
2012-08-21,29.11,29.736,30.5836,31.3547,-0.199638,-0.352902,0.153263628482819,-0.348543,-0.290231,-0.0583122074604034
2012-08-20,29.51,29.85,30.5838,31.3715,-0.17457,-0.391218,0.216647922992706,-0.174438,-0.261075,0.0866362452507019
2012-08-17,30.01,29.726,30.5952,31.3675,-0.180862,-0.44538,0.264517188072205,-0.0692062,-0.304393,0.235186606645584
2012-08-16,30.3,29.452,30.5736,31.3618,-0.237137,-0.511509,0.274372160434723,-0.120663,-0.421986,0.301323801279068
2012-08-15,29.4,29.032,30.552,31.3571,-0.334913,-0.580102,0.245188534259796,-0.326727,-0.572648,0.245921552181244
2012-08-14,29.42,28.717,30.5222,31.3595,-0.363314,-0.641399,0.278085112571716,-0.247301,-0.695609,0.448308110237122
2012-08-13,31.17,28.517,30.4914,31.3562,-0.396372,-0.71092,0.314548134803772,-0.122728,-0.919763,0.797034740447998
2012-08-10,29.94,28.135,30.431,31.3403,-0.610905,-0.789557,0.178652286529541,-0.693333,-1.31828,0.624945282936096
2012-08-09,29.41,28.092,30.4222,31.3318,-0.750582,-0.83422,0.0836386680603027,-1.03649,-1.63075,0.594256997108459
2012-08-08,29.09,27.964,30.4422,31.3275,-0.863991,-0.85513,-0.00886058807373047,-1.31727,-1.92788,0.610604763031006
2012-08-07,30.25,27.95,30.4942,31.3222,-0.963661,-0.852915,-0.110746622085571,-1.58316,-2.23318,0.650017976760864
2012-08-06,28.27,27.909,30.4854,31.3076,-1.19493,-0.825228,-0.369705319404602,-2.47068,-2.55819,0.087510347366333
2012-08-03,27.27,28.148,30.5256,31.3041,-1.27109,-0.732802,-0.538287580013275,-2.93406,-2.60194,-0.332124948501587
2012-08-02,26.1,28.6,30.6006,31.3095,-1.24796,-0.59823,-0.649728715419769,-3.1426,-2.43588,-0.706723213195801
2012-08-01,26.25,29.217,30.6946,,-1.0812,-0.435798,-0.645403146743774,-2.86526,-2.08252,-0.782739639282227
2012-07-31,27.42,29.807,30.745,,-0.867853,-0.274448,-0.593404978513718,-2.40665,-1.69115,-0.715499043464661
2012-07-30,27.35,30.4,30.7478,,-0.702105,-0.126097,-0.57600724697113,-2.1236,-1.3334,-0.79020619392395
2012-07-27,29.51,31.261,30.7722,,-0.473221,0.0179046,-0.491125425323844,-1.58071,-0.938297,-0.642414331436157
2012-07-26,28.13,31.735,30.7656,,-0.394037,0.140686,-0.534723445773125,-1.62485,-0.617091,-1.0077565908432
2012-07-25,28.95,32.192,30.7916,,-0.146807,0.274367,-0.421173304319382,-1.03848,-0.113212,-0.925262831151485
2012-07-24,29.84,32.448,30.8138,,0.0873623,0.37966,-0.292298167943954,-0.438282,0.349421,-0.787703067064285
2012-07-23,30.66,32.591,30.862,,0.294415,0.452735,-0.158320486545563,0.135136,0.743272,-0.608136653900146
2012-07-20,31.79,32.674,30.908,,0.470942,0.492315,-0.0213732421398163,0.680241,1.04734,-0.36709988117218
2012-07-19,32.27,32.594,30.8734,,0.574297,0.497658,0.0766391456127167,1.0274,1.23089,-0.203489661216736
2012-07-18,32.15,32.49,30.8318,,0.648979,0.478498,0.170480996370316,1.33678,1.33263,0.00414907932281494
2012-07-17,33.35,32.341,30.8382,,0.747108,0.435878,0.31123086810112,1.84172,1.33056,0.511157035827637
